Name,Email,Quantitative Research,Strategy Implementation,Software Development,Business,Date Given,Due Date
Jessica Smith,person0@gmail.com,Assignment 9,,,,2021-12-15,2021-12-30
Teresa Aguilar,person1@gmail.com,,Assignment 13,,,2021-12-15,2021-12-30
Angela Miranda,person2@gmail.com,,Assignment 19,,,2021-12-15,2021-12-30
Andre Mccormick,person3@gmail.com,,Assignment 21,,,2021-12-15,2021-12-30
Marcus Gilbert,person4@gmail.com,,Assignment 25,,,2021-12-15,2021-12-30
Clayton Wilson,person5@gmail.com,,Assignment 7,,,2021-12-15,2021-12-30
John Hanna,person6@gmail.com,,Assignment 24,,,2021-12-15,2021-12-30
Joshua Owens,person7@gmail.com,,Assignment 22,,,2021-12-15,2021-12-30
Ann Riley,person8@gmail.com,Assignment 11,,,,2021-12-15,2021-12-30
Justin Newman,person9@gmail.com,,Assignment 10,,,2021-12-15,2021-12-30
Mr. David Mahoney,person10@gmail.com,,Assignment 9,,,2021-12-15,2021-12-30
Joseph Smith,person11@gmail.com,,Assignment 21,,,2021-12-15,2021-12-30
Abigail Thomas,person12@gmail.com,Assignment 21,,,,2021-12-15,2021-12-30
James Brown,person13@gmail.com,,,,Assignment 19,2021-12-15,2021-12-30
Carly Grant,person14@gmail.com,,,,Assignment 23,2021-12-15,2021-12-30
Timothy Wise,person15@gmail.com,Assignment 26,,,,2021-12-15,2021-12-30
Brenda Torres,person16@gmail.com,,Assignment 9,,,2021-12-15,2021-12-30
Donald Drake,person17@gmail.com,Assignment 2,,,,2021-12-15,2021-12-30
Christopher Blevins,person18@gmail.com,,Assignment 22,,,2021-12-15,2021-12-30
Roy Williams,person19@gmail.com,,,,Assignment 7,2021-12-15,2021-12-30
Gregory Peterson,person20@gmail.com,,,Assignment 1,,2021-12-15,2021-12-30
Karen Patton,person21@gmail.com,,,,Assignment 16,2021-12-15,2021-12-30
Robert Keith,person22@gmail.com,,,,Assignment 2,2021-12-15,2021-12-30
Richard Briggs,person23@gmail.com,,,,Assignment 17,2021-12-15,2021-12-30
Caleb Lopez,person24@gmail.com,,Assignment 25,,,2021-12-15,2021-12-30
Bryan Moreno,person25@gmail.com,,,,Assignment 27,2021-12-15,2021-12-30
Karina Roth,person26@gmail.com,Assignment 26,,,,2021-12-15,2021-12-30
Margaret Reed,person27@gmail.com,,Assignment 7,,,2021-12-15,2021-12-30
Rhonda Moore,person28@gmail.com,,Assignment 19,,,2021-12-15,2021-12-30
Debra Moore,person29@gmail.com,Assignment 15,,,,2021-12-15,2021-12-30
Michelle Leon,person30@gmail.com,,Assignment 2,,,2021-12-15,2021-12-30
Benjamin Foster,person31@gmail.com,,,Assignment 6,,2021-12-15,2021-12-30
Dustin Johnson,person32@gmail.com,,,Assignment 24,,2021-12-15,2021-12-30
Anita Cantu,person33@gmail.com,,Assignment 28,,,2021-12-15,2021-12-30
Emily Landry,person34@gmail.com,Assignment 6,,,,2021-12-15,2021-12-30
David Jones,person35@gmail.com,,Assignment 20,,,2021-12-15,2021-12-30
Dakota Sanders,person36@gmail.com,,Assignment 15,,,2021-12-15,2021-12-30
Stacy Mason,person37@gmail.com,Assignment 21,,,,2021-12-15,2021-12-30
Heather Trevino,person38@gmail.com,,,,Assignment 14,2021-12-15,2021-12-30
Michaela Thompson,person39@gmail.com,Assignment 5,,,,2021-12-15,2021-12-30
